,Time,Tray,Moisture,pH,Temperature
0,2022-04-24 17:49:20.062341,1,0.4,7.5,56.7
1,2022-05-03 17:08:05.108182,1,0.4,7.5,56.7
2,2022-05-03 17:08:18.154051,2,0.6,7,5
3,2022-05-03 17:08:31.344812,2,11.6,7,5
4,2022-05-03 17:33:19.403645,2,11.6,7,5
5,2022-05-03 22:34:21.156603,1,234.0,147.6,-1.0
6,2022-05-03 22:36:24.059930,1,234.0,147.6,-1.0
7,2022-05-03 22:39:22.374015,1,234.0,147.6,-1.0
8,2022-05-03 22:41:48.738266,1,231.4,152.4,-1.0
9,2022-05-03 22:50:50.564453,1,233.0,149.0,-1.0
10,2022-05-03 22:54:35.169248,1,231.8,148.0,-1.0
11,2022-05-03 22:57:01.188106,1,90.82352941176471,8.092549019607842,-1.0
12,2022-05-03 23:01:12.925008,1,92.24,8.11,-1.0
13,2022-05-03 23:01:23.148747,1,91.92,8.15,-1.0
14,2022-05-03 23:01:41.639190,1,92.31,8.03,-1.0
15,2022-05-03 23:05:03.570363,1,91.92,8.29,-1.0
16,2022-05-03 23:05:26.698439,1,92.08,8.29,-1.0
17,2022-05-03 23:06:04.256480,2,92.0,8.41,-1.0
18,2022-05-03 23:08:32.742602,1,92.31,8.39,-1.0
19,2022-05-03 23:08:49.849326,1,92.47,8.37,-1.0
20,2022-05-03 23:09:02.218439,2,92.16,8.39,-1.0
21,2022-05-03 23:09:28.725159,2,92.55,8.41,-1.0
22,2022-05-04 01:04:17.595335,1,9.1,12.42,-1.0
